Comment,Designator,Footprint,JLCPCB Part ＃（optional）
100nF,"C11,C13,C16,C2,C7",C_0402_1005Metric,C41851
22uF,"C10,C15,C8,C9",C_0805_2012Metric,C5674
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913202
1uF,"C3,C14",C_0603_1608Metric,C1592
120R@100MHz,"FB2,FB1",L_0603_1608Metric,C14709
4.7uF,"C4,C5",C_0603_1608Metric,C8032
10uF/10V,C1,C_0805_2012Metric,C17024
10uF,C6,C_0805_2012Metric,C17024
47uF,C12,C_1206_3216Metric,C68361
Conn_01x08_Pin,"J5,J4",JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,C265111
Conn_01x02_Pin,J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C47647
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,C5116483
Conn_01x05_Pin,J6,PinHeader_1x05_P2.54mm_Vertical,C210053
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1.5A,F1,Fuse_1206_3216Metric,C70078
2.2uH,L1,L_1210_3225Metric,C389569
BQ24074RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C54313
TPS63010,U3,Texas_DRC0010J_ThermalVias,C2867225
TPD2EUSB30A,U_ESD1,Texas_DRT-3,C2987043
5.1k,"R1,R2",R_0402_1005Metric,C25941
27,"R3,R4",R_0402_1005Metric,C25100
10k,"R10,R8,R9",R_0603_1608Metric,C15401
1.13k,R5,R_0603_1608Metric,C22833
1.18k,R6,R_0603_1608Metric,C3000716
4.12k,R7,R_0603_1608Metric,C23041
