"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C13,C16,C2,C7";"C_0402_1005Metric";5;"100nF";;;
2;"C10,C15,C8,C9";"C_0805_2012Metric";4;"22uF";;;
3;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
4;"C3,C14";"C_0603_1608Metric";2;"1uF";;;
5;"FB2,FB1";"L_0603_1608Metric";2;"120R@100MHz";;;
6;"C4,C5";"C_0603_1608Metric";2;"4.7uF";;;
7;"C1";"C_0805_2012Metric";1;"10uF/10V";;;
8;"C6";"C_0805_2012Metric";1;"10uF";;;
9;"C12";"C_1206_3216Metric";1;"47uF";;;
10;"J5,J4";"JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal";2;"Conn_01x08_Pin";;;
11;"J2";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02_Pin";;;
12;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
13;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
14;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
15;"F1";"Fuse_1206_3216Metric";1;"1.5A";;;
16;"L1";"L_1210_3225Metric";1;"2.2uH";;;
17;"U2";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
18;"U3";"Texas_DRC0010J_ThermalVias";1;"TPS63010";;;
19;"U_ESD1";"Texas_DRT-3";1;"TPD2EUSB30A";;;
20;"R1,R2";"R_0402_1005Metric";2;"5.1k";;;
21;"R3,R4";"R_0402_1005Metric";2;"27";;;
22;"R10,R8,R9";"R_0603_1608Metric";3;"10k";;;
23;"R5";"R_0603_1608Metric";1;"1.13k";;;
24;"R6";"R_0603_1608Metric";1;"1.18k";;;
25;"R7";"R_0603_1608Metric";1;"4.12k";;;
